Player Name,Team,Conference,Position Profile,Review Date,Video Type,Video Source,Video Score,Overall Video Rating,Video Grade,Status,Recommendation,Quantitative Match,Technical Ability,Tactical Awareness,Decision Making,Physical Attributes,Work Rate,Communication,Leadership,Composure,Key Observations,Strengths Identified,Weaknesses Identified,Red Flags,Additional Notes,Created At
Rowan Reedmoor,TCU,Big 12,Winger,2026-05-10,Attacking Reel,Coach Submitted,6.3,6.4,D,In Progress,Watch Next Season,Strong match,6.9,6.7,6.6,7.1,6.5,6.3,6.6,6.0,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #2. Sample taken from Conference Cup.,2026-05-10 18:12:11
Fern Lindenmark,Oklahoma State,Big 12,Center Back,2026-05-10,Highlights,Conference Network,6.4,6.7,C,Reviewed - Pending Discussion,Sign Now,Strong match,5.8,7.4,6.2,6.8,5.8,7.4,6.5,7.4,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #2. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Opal Aldercroft,North Carolina,ACC,Attacking Midfielder,2026-05-07,Possession Phases,Hudl,5.7,5.8,D,In Progress,Continue Tracking,Mixed signals,7.8,5.5,7.1,4.9,5.4,5.2,5.1,5.9,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Sigrid Reedmoor,Rutgers,Big Ten,Center Back,2026-05-07,Highlights,Coach Submitted,6.6,7.0,C,Reviewed - Pending Discussion,Continue Tracking,Mixed signals,6.1,7.9,7.3,6.6,5.8,6.6,6.3,6.8,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Halcyon Kestrelin,Virginia Tech,ACC,Attacking Midfielder,2026-05-06,Attacking Reel,YouTube,6.3,6.5,C,Archived,Pass,Weak match,7.7,5.8,6.9,6.6,6.4,5.5,5.6,6.3,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Astrid Caelum,Kansas,Big 12,Center Back,2026-05-06,Full Match,Coach Submitted,5.3,5.8,D,In Progress,Watch Next Season,Weak match,5.4,7.0,5.3,6.1,5.8,6.0,6.0,7.4,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Wren Brindlewood,Notre Dame,ACC,Center Back,2026-05-06,Full Match,Conference Network,7.8,7.9,B,Reviewed - Pending Discussion,Continue Tracking,Not assessed,6.8,8.8,7.1,8.6,7.7,7.7,7.8,8.6,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #2. Sample taken from National camp footage.,2026-05-10 18:12:11
Marlowe Brindlewood,Florida,SEC,Center Back,2026-05-04,Set Piece Compilation,YouTube,5.6,6.1,D,Reviewed,Pass,Mixed signals,5.0,7.1,5.3,6.2,5.8,6.0,6.0,7.2,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #2. Sample taken from NCAA league play.,2026-05-10 18:12:11
Anouk Brackenfeld,South Carolina,SEC,Winger,2026-05-03,Possession Phases,Hudl,6.3,6.8,C,Reviewed - Pending Discussion,Continue Tracking,Not assessed,6.9,7.2,6.3,7.0,7.4,6.0,6.1,6.7,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Phaedra Pennygrove,Texas A&M,SEC,Centre Midfielder,2026-05-03,Attacking Reel,Wyscout,7.0,6.5,C,Reviewed,Continue Tracking,Not assessed,6.8,6.6,6.8,6.7,6.9,5.8,5.6,6.7,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #2. Sample taken from NCAA league play.,2026-05-10 18:12:11
Vivienne Aldercroft,Indiana,Big Ten,Center Back,2026-05-02,Defensive Reel,Wyscout,6.5,6.9,C,Reviewed,Sign Now,Mixed signals,6.7,7.6,6.6,7.8,7.1,7.2,6.0,7.6,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Ember Cloudvane,Duke,ACC,Winger,2026-05-01,Highlights,Conference Network,6.2,6.2,D,Reviewed,Pass,Mixed signals,7.4,6.0,6.5,6.2,5.8,6.4,5.2,6.2,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Alika Brindlewood,Alabama,SEC,Winger,2026-05-01,Highlights,Conference Network,7.4,7.0,C,Archived,Watch Next Season,Not assessed,8.2,6.3,6.4,7.4,6.3,5.6,7.0,6.6,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #2. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Juno Stormhaven,Iowa State,Big 12,Center Back,2026-05-01,Full Match,Conference Network,7.0,7.5,B,In Progress,Continue Tracking,Not assessed,7.0,9.3,7.1,8.1,7.2,7.1,7.5,8.9,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,Tracking minor knee discomfort - monitor in next clip set.,Review #2. Sample taken from National camp footage.,2026-05-10 18:12:11
Senna Kestrelin,USC,Big Ten,Center Back,2026-04-30,Highlights,Club Provided,7.4,7.1,C,In Progress,Continue Tracking,Weak match,6.5,8.4,5.9,7.6,6.9,6.8,7.4,6.8,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,Tracking minor knee discomfort - monitor in next clip set.,Review #3. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Phaedra Kestrelin,Notre Dame,ACC,Attacking Midfielder,2026-04-29,Attacking Reel,Conference Network,8.0,8.0,B,Reviewed,Continue Tracking,Not assessed,9.0,8.1,8.1,7.4,7.8,7.6,8.1,7.7,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Hesper Brindlewood,Florida,SEC,Attacking Midfielder,2026-04-29,Possession Phases,Conference Network,6.6,6.8,C,Archived,Continue Tracking,Not assessed,7.8,7.0,7.8,6.6,6.1,6.5,6.5,6.6,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Isolde Daleforth,Northwestern,Big Ten,Attacking Midfielder,2026-04-26,Possession Phases,Conference Network,7.3,7.0,C,In Progress,Continue Tracking,Mixed signals,7.4,6.7,7.3,6.4,7.1,6.3,7.3,7.0,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Thora Reedmoor,Rutgers,Big Ten,Attacking Midfielder,2026-04-26,Skills Showcase,Coach Submitted,6.5,6.6,C,Reviewed,Sign Now,Mixed signals,7.5,6.7,6.6,6.0,6.0,5.8,6.2,6.6,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Zephyrine Aldercroft,Ohio State,Big Ten,Winger,2026-04-26,Set Piece Compilation,Coach Submitted,7.4,7.4,C,In Progress,Sign Now,Mixed signals,8.1,6.7,7.1,7.7,7.5,7.4,6.6,7.2,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Alika Brindlewood,Alabama,SEC,Winger,2026-04-26,Skills Showcase,Coach Submitted,6.7,6.4,D,Archived,Pass,Not assessed,7.5,5.5,6.3,6.4,6.7,6.1,6.0,5.2,Direct 1v1 player who attacks the touchline and cuts inside.,"Pace, ball-carrying ability and willingness to track back.",End product (final ball) inconsistent across the sample reviewed.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Beatrix Ravenhollow,BYU,Big 12,Attacking Midfielder,2026-04-25,Full Match,Hudl,6.9,7.0,C,In Progress,Pass,Weak match,7.5,7.5,7.7,6.2,7.2,6.7,6.8,7.2,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Tabitha Saltmarsh,UCLA,Big Ten,Attacking Midfielder,2026-04-23,Attacking Reel,Club Provided,7.2,7.5,B,In Progress,Continue Tracking,Strong match,8.5,6.5,8.0,6.2,7.3,7.4,7.0,7.0,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
Petra Marwen,UCLA,Big Ten,Attacking Midfielder,2026-04-23,Attacking Reel,Hudl,7.4,7.2,C,In Progress,Sign Now,Not assessed,8.0,6.4,7.4,6.1,6.0,7.6,7.4,7.3,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Kestrel Ravenhollow,Ohio State,Big Ten,Centre Midfielder,2026-04-22,Skills Showcase,Hudl,6.5,6.1,D,Reviewed,Continue Tracking,Mixed signals,6.1,6.6,6.7,5.9,6.1,5.9,6.0,6.2,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,Tracking minor knee discomfort - monitor in next clip set.,Review #2. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Echo Vellichor,Virginia,ACC,Centre Midfielder,2026-04-21,Skills Showcase,Conference Network,7.6,7.9,B,Reviewed,Sign Now,Not assessed,7.1,6.8,9.3,7.3,9.0,7.8,6.9,7.8,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Indigo Daleforth,North Carolina,ACC,Centre Midfielder,2026-04-20,Defensive Reel,Coach Submitted,6.7,7.0,C,Reviewed,Pass,Strong match,7.3,6.6,7.1,7.3,8.1,7.9,6.3,6.6,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
Briar Pennygrove,Kentucky,SEC,Centre Midfielder,2026-04-20,Set Piece Compilation,Coach Submitted,7.3,6.9,C,Archived,Continue Tracking,Not assessed,7.3,6.1,7.2,6.9,6.9,6.5,6.6,7.3,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #2. Sample taken from Conference Cup.,2026-05-10 18:12:11
Rhea Juniperwen,Michigan,Big Ten,Center Back,2026-04-19,Attacking Reel,YouTube,8.1,8.5,A,Archived,Sign Now,Weak match,8.1,9.2,8.4,8.8,8.1,7.5,8.5,8.6,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Sigrid Stormhaven,Texas Tech,Big 12,Centre Midfielder,2026-04-19,Full Match,YouTube,6.2,6.4,D,In Progress,Watch Next Season,Mixed signals,7.0,5.8,8.0,6.8,6.8,6.1,6.4,6.3,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #2. Sample taken from NCAA league play.,2026-05-10 18:12:11
Cinder Hollowmere,Florida State,ACC,Center Back,2026-04-18,Full Match,Hudl,6.7,7.0,C,Reviewed,Continue Tracking,Strong match,6.0,8.3,7.0,6.7,6.9,6.8,6.3,8.0,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Idalia Vossen,Cincinnati,Big 12,Center Back,2026-04-18,Defensive Reel,Wyscout,7.7,7.3,C,Reviewed,Watch Next Season,Strong match,7.5,8.3,6.6,7.2,7.3,7.2,7.1,8.1,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,Tracking minor knee discomfort - monitor in next clip set.,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
Sigrid Yarrowfen,USC,Big Ten,Center Back,2026-04-17,Full Match,Club Provided,6.7,6.6,C,In Progress,Pass,Not assessed,5.2,7.6,5.8,7.3,6.8,5.4,6.6,6.4,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from Pre-season friendlies.,2026-05-10 18:12:11
Saoirse Vossen,Penn State,Big Ten,Attacking Midfielder,2026-04-16,Highlights,Wyscout,7.3,7.2,C,Reviewed,Sign Now,Weak match,8.8,6.8,7.0,6.4,7.4,6.6,6.8,8.0,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Halcyon Glasswood,Duke,ACC,Centre Midfielder,2026-04-16,Full Match,Conference Network,6.2,6.2,D,Archived,Watch Next Season,Not assessed,6.0,6.4,7.6,5.5,6.2,6.2,5.7,6.1,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from Conference Cup.,2026-05-10 18:12:11
Anouk Cloudvane,Syracuse,ACC,Centre Midfielder,2026-04-16,Full Match,Hudl,6.1,5.9,D,Reviewed,Watch Next Season,Not assessed,5.3,5.6,6.9,5.4,6.3,6.1,5.1,6.5,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Elowen Hartmere,West Virginia,Big 12,Center Back,2026-04-16,Defensive Reel,Wyscout,7.7,8.0,B,Archived,Pass,Not assessed,6.8,8.2,7.5,8.1,7.8,8.0,8.1,8.5,"Reads the game well, steps into midfield to break lines.","Aerially dominant, comfortable on the ball, strong communicator.",Occasionally over-commits in 1v1 situations.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Elowen Briarwood,Georgia,SEC,Centre Midfielder,2026-04-15,Attacking Reel,Coach Submitted,6.6,6.3,D,Reviewed,Watch Next Season,Mixed signals,5.8,5.3,7.3,6.6,7.5,6.1,5.3,6.1,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,Tracking minor knee discomfort - monitor in next clip set.,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
Clio Quillane,Syracuse,ACC,Centre Midfielder,2026-04-15,Possession Phases,Coach Submitted,6.6,6.3,D,Reviewed,Continue Tracking,Strong match,6.3,6.8,6.5,6.5,6.6,6.7,5.9,6.9,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #3. Sample taken from Conference Cup.,2026-05-10 18:12:11
Sorrel Daleforth,LSU,SEC,Centre Midfielder,2026-04-14,Attacking Reel,YouTube,7.0,7.5,B,Archived,Sign Now,Not assessed,7.6,6.8,8.9,6.9,8.7,7.4,6.9,7.3,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
Sable Farreach,Baylor,Big 12,Attacking Midfielder,2026-04-14,Set Piece Compilation,Coach Submitted,6.1,6.1,D,In Progress,Pass,Strong match,6.7,6.7,7.1,6.1,6.1,5.8,6.2,6.7,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
Quill Northwynd,BYU,Big 12,Attacking Midfielder,2026-04-12,Skills Showcase,Hudl,6.1,6.4,D,In Progress,Pass,Not assessed,7.7,6.1,6.5,5.5,6.9,7.1,6.5,6.3,Shows creativity in tight spaces and good final-third decisions.,Excellent ball striking and ability to find half-spaces.,Decision making in counter-press moments needs refining.,,Review #1. Sample taken from National camp footage.,2026-05-10 18:12:11
Prudence Heatherwell,Florida State,ACC,Centre Midfielder,2026-04-10,Possession Phases,YouTube,5.8,6.0,D,In Progress,Pass,Strong match,6.4,5.2,7.3,5.4,7.3,6.3,6.3,5.9,Connects defence to attack with consistent first-time passing.,"High work rate, two-way midfielder with good positional sense.",Can be passive when team is out of possession in transition.,Tracking minor knee discomfort - monitor in next clip set.,Review #1. Sample taken from NCAA league play.,2026-05-10 18:12:11
